"","SRA","SRS","SP","PROTOCOL","TISSUE","CELL","NGENES","TOTALCOUNT","MTCOUNT","MTRATIO","CT"
"ufBBWazy","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","ufBBWazy",3204,396962,10548,0.0265718129191207,"Fibroblasts"
"UGe0C2mk","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","UGe0C2mk",2601,202284,4638,0.0229281604081391,"Fibroblasts"
"UnhQKTjD","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","UnhQKTjD",3951,478827,6017,0.0125661251349652,"Fibroblasts"
"UuiEY9bM","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","UuiEY9bM",2905,248962,4598,0.0184686819675292,"Fibroblasts"
"uyDch8Bo","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","uyDch8Bo",4481,635923,15913,0.0250234698226043,"Epithelial cells"
"uZzU5CjP","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","uZzU5CjP",4340,306204,7781,0.0254111637992972,"Epithelial cells"
"v3SWorV5","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","v3SWorV5",2318,160424,3490,0.0217548496484317,"Urothelial cells"
"v9zazBOQ","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","v9zazBOQ",5022,567460,13427,0.0236615796708138,"Urothelial cells"
"VEvXj3oo","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","VEvXj3oo",4170,427830,7824,0.0182876376130706,"Urothelial cells"
"vM4X8y7o","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","vM4X8y7o",5430,661599,18308,0.0276723513790075,"Urothelial cells"
"vPKR8dQx","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","vPKR8dQx",5430,583364,11345,0.019447549043136,"Epithelial cells"
"vW6ULzzp","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","vW6ULzzp",3658,1692984,40353,0.0238354290412668,"Urothelial cells"
"vYbsJgTp","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","vYbsJgTp",5233,584523,16333,0.0279424419569461,"Urothelial cells"
"waZU1JYf","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","waZU1JYf",4433,507161,12724,0.0250886799260984,"Epithelial cells"
"WDukR4oQ","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","WDukR4oQ",841,23445,389,0.0165920238856899,"Fibroblasts"
"wlfmrLBC","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","wlfmrLBC",2626,281397,4218,0.0149894988219491,"Fibroblasts"
"WRVGjenz","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","WRVGjenz",3732,289534,4500,0.0155422161127881,"Fibroblasts"
"X8HZTQzd","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","X8HZTQzd",2567,213470,5077,0.0237832013866117,"Fibroblasts"
"X9sVMoVT","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","X9sVMoVT",5379,300279,8422,0.0280472493913993,"Urothelial cells"
"xB13njqv","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","xB13njqv",4816,785625,27434,0.0349199681782021,"Urothelial cells"
"xqZaZ5eu","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","xqZaZ5eu",4392,520248,16324,0.0313773431132844,"Urothelial cells"
"xUcVFo7l","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","xUcVFo7l",3788,133906,2797,0.0208877869550282,"Fibroblasts"
"Y6ZYdpYX","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","Y6ZYdpYX",3856,282373,7179,0.0254238188495359,"Fibroblasts"
"YbvxMac7","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","YbvxMac7",4554,479732,11154,0.023250481518848,"Epithelial cells"
"yE6JEf9Z","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","yE6JEf9Z",3815,371704,6741,0.0181353980586703,"Fibroblasts"
"yfYp3ezn","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","yfYp3ezn",4366,487086,15321,0.031454404355699,"Urothelial cells"
"YK0gc8z4","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","YK0gc8z4",3454,436773,9650,0.0220938565341722,"Fibroblasts"
"yMqD6NVG","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","yMqD6NVG",3770,125773,2619,0.0208232291509306,"Fibroblasts"
"yXZSjm0t","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","yXZSjm0t",3510,243381,3783,0.0155435305138856,"Fibroblasts"
"zaMhEgy0","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","zaMhEgy0",3335,110603,1397,0.0126307604676184,"Fibroblasts"
"ZbnMxrDC","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","ZbnMxrDC",3106,415684,7634,0.018364911808008,"Fibroblasts"
"zlMMVSPo","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","zlMMVSPo",2897,353669,7832,0.0221449999858625,"Fibroblasts"
"zR4r1kKM","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","zR4r1kKM",3840,241339,4232,0.0175354998570476,"Fibroblasts"
"zXwDNlK9","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","zXwDNlK9",3497,171662,2517,0.0146625345155014,"Fibroblasts"
"0zMNYgcH","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","0zMNYgcH",3060,1607798,28131,0.017496600941163,"Fibroblasts"
"107Gg5Sm","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","107Gg5Sm",4712,960072,19570,0.020383887875076,"Urothelial cells"
"10Npz4VW","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","10Npz4VW",3025,1356855,21009,0.0154835999425141,"Fibroblasts"
"1h9JZuca","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","1h9JZuca",5220,747154,21553,0.0288467973135391,"Urothelial cells"
"2JKYsZQC","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","2JKYsZQC",3499,425263,5835,0.0137209209359855,"Fibroblasts"
"3hEcjEcJ","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","3hEcjEcJ",4190,310337,7237,0.0233198103996623,"Fibroblasts"
"3mNIdfvf","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","3mNIdfvf",4203,1309519,29204,0.0223013182702962,"Urothelial cells"
"3NGtUyCp","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","3NGtUyCp",4906,1565366,33309,0.0212787297028299,"Urothelial cells"
"5tht9DgY","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","5tht9DgY",4529,834994,18108,0.0216863833752099,"Epithelial cells"
"5uiXiWYq","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","5uiXiWYq",2106,1086850,29508,0.0271500207020288,"Urothelial cells"
"6VSHfmWA","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","6VSHfmWA",3376,231785,4160,0.0179476670190047,"Fibroblasts"
"8DMWhHfG","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","8DMWhHfG",4718,1534732,35614,0.0232053544201854,"Urothelial cells"
"9wcv2hBQ","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","9wcv2hBQ",2955,1617605,11186,0.00691516161238374,"Fibroblasts"
"9Z52Nlzw","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","9Z52Nlzw",3441,1646199,37003,0.0224778413788369,"Urothelial cells"
"aTaNM6N8","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","aTaNM6N8",3091,225703,2394,0.0106068594568969,"Fibroblasts"
"Ay0OARCf","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","Ay0OARCf",3907,861928,20344,0.0236028995461338,"Urothelial cells"
"b0OeiSYL","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","b0OeiSYL",3884,1569140,33639,0.0214378576800031,"Urothelial cells"
"b3VX0erb","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","b3VX0erb",3131,965975,14907,0.0154320763994927,"Fibroblasts"
"bGTf47vp","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","bGTf47vp",3402,310180,5760,0.0185698626603907,"Fibroblasts"
"Bn46wSLH","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","Bn46wSLH",5195,525413,8575,0.0163204945442918,"Epithelial cells"
"BoGWJqQe","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","BoGWJqQe",4218,1383387,19848,0.0143473951974393,"Urothelial cells"
"bUAVXSzo","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","bUAVXSzo",4456,1338821,34841,0.0260236431905385,"Urothelial cells"
"bykRBgG7","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","bykRBgG7",4789,1345133,11664,0.00867126150350932,"Urothelial cells"
"CBLd5OR6","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","CBLd5OR6",3362,368448,6752,0.0183255167622025,"Fibroblasts"
