"","SRA","SRS","SP","PROTOCOL","TISSUE","CELL","NGENES","TOTALCOUNT","MTCOUNT","MTRATIO","CT"
"W4XJsC53","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","W4XJsC53",4697,1811162,22379,0.0123561558822458,"Ependymal cells"
"wcaRnQQI","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","wcaRnQQI",2697,634690,8157,0.0128519434684649,"Macrophages"
"wix8RQxy","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","wix8RQxy",2985,1409239,8656,0.00614232220368582,"Fibroblasts"
"wJRpPjn1","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","wJRpPjn1",2926,1009755,20552,0.0203534520750083,"Pulmonary alveolar type II cells"
"wpTgAb1H","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","wpTgAb1H",2345,524788,7398,0.0140971211231964,"Fibroblasts"
"wu1NOr03","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","wu1NOr03",2358,1303514,9403,0.00721357806667209,"Fibroblasts"
"X8EHgb1j","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","X8EHgb1j",1729,519135,6401,0.0123301260751057,"Macrophages"
"xaNRRnqu","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","xaNRRnqu",3146,578028,8797,0.0152189859314774,"Pulmonary alveolar type II cells"
"xQCxL9Qc","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","xQCxL9Qc",3931,709867,19505,0.0274769780818097,"Pulmonary alveolar type II cells"
"xrdOM0Cq","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","xrdOM0Cq",2698,662970,8108,0.0122298143204067,"Macrophages"
"Y1Y0HtV1","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","Y1Y0HtV1",2303,638075,6755,0.010586529796654,"Macrophages"
"YjfprL7z","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","YjfprL7z",2840,700617,11912,0.0170021566704776,"Macrophages"
"ZhRxk7P7","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","ZhRxk7P7",5268,531364,11970,0.0225269306915787,"T memory cells"
"zL1cdmRu","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","zL1cdmRu",2300,596199,6339,0.0106323559751023,"Macrophages"
"03HTj5KP","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","03HTj5KP",2579,368147,7800,0.0211871888131643,"Endothelial cells"
"0edwATKo","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","0edwATKo",2239,1225375,13769,0.0112365602366622,"Fibroblasts"
"0nlji3kU","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","0nlji3kU",2461,445170,2811,0.00631444167396725,"Endothelial cells"
"0tSyP64k","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","0tSyP64k",1423,1335704,6023,0.00450923258446482,"Fibroblasts"
"0YQI322l","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","0YQI322l",2806,859622,4456,0.00518367375427804,"Fibroblasts"
"1azjIjm8","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","1azjIjm8",1589,313112,11660,0.037239071003347,"T memory cells"
"1BDg2Pg5","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","1BDg2Pg5",3621,1049010,25131,0.0239568736237023,"Dendritic cells"
"1P1hUyuW","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","1P1hUyuW",804,270381,33984,0.125689305091704,"Fibroblasts"
"1Q6O9z5m","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","1Q6O9z5m",2667,163864,3110,0.0189791534443197,"Endothelial cells"
"1W2g1Lgy","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","1W2g1Lgy",1800,183424,1474,0.00803602581995813,"Endothelial cells"
"1XGQhg2E","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","1XGQhg2E",3947,664615,28135,0.0423327791277657,"Ependymal cells"
"2i4BbICp","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","2i4BbICp",3005,1130884,33781,0.0298713219039265,"Fibroblasts"
